customer_id,company_name,industry,company_segment,region,acquisition_channel,sales_owner,signup_date,first_contract_date,initial_product_id,current_product_id,lifecycle_status
C0055,PrimeArc Digital 055,Manufacturing,Large Enterprise,West,Partner,Meera Iyer,2022-08-01,2022-08-01,P002,P002,Active
C0056,SkyGrid Enterprises 056,Healthcare,Mid-Market,East,Outbound,Rahul Mehta,2022-06-01,2022-06-01,P001,P001,Active
C0057,Jupiter Technologies 057,Manufacturing,Mid-Market,South,Inbound,Sara Khan,2022-05-01,2022-05-01,P001,P001,Active
C0058,Zenith Systems 058,Healthcare,Mid-Market,North,Inbound,Sara Khan,2022-05-01,2022-05-01,P001,P001,Active
C0059,DigiCore Digital 059,Healthcare,Large Enterprise,West,Events,Meera Iyer,2022-06-01,2022-06-01,P002,P002,Active
C0060,Zenith Networks 060,Financial Services,Mid-Market,West,Inbound,Aditi Rao,2022-10-01,2022-10-01,P001,P001,Active
C0061,FinAxis Networks 061,Healthcare,Large Enterprise,Central,Outbound,Arjun Nair,2022-03-01,2022-03-01,P002,P002,Churned
C0062,Riverbend Consulting 062,Financial Services,Mid-Market,West,Outbound,Rahul Mehta,2022-11-01,2022-11-01,P001,P002,Active
C0063,FinAxis Technologies 063,IT Services,Large Enterprise,South,Events,Vikram Shah,2022-05-01,2022-05-01,P002,P002,Active
C0064,Riverbend Industries 064,Retail,Mid-Market,North,Outbound,Arjun Nair,2022-04-01,2022-04-01,P001,P001,Active
C0065,UrbanStack Solutions 065,Retail,Large Enterprise,West,Inbound,Sara Khan,2022-07-01,2022-07-01,P002,P002,Active
C0066,Riverbend Technologies 066,Healthcare,Large Enterprise,South,Events,Vikram Shah,2022-11-01,2022-11-01,P002,P002,Active
C0067,SkyGrid Enterprises 067,IT Services,Mid-Market,West,Inbound,Neha Kapoor,2022-06-01,2022-06-01,P001,P002,Active
C0068,Quantara Solutions 068,Manufacturing,Large Enterprise,East,Outbound,Rahul Mehta,2022-10-01,2022-10-01,P002,P002,Active
C0069,KiteBridge Labs 069,IT Services,Large Enterprise,North,Outbound,Arjun Nair,2022-05-01,2022-05-01,P002,P002,Active
C0070,Westlake Solutions 070,Professional Services,Large Enterprise,South,Events,Meera Iyer,2022-10-01,2022-10-01,P002,P002,Active
C0071,Jupiter Consulting 071,IT Services,Mid-Market,Central,Events,Vikram Shah,2022-05-01,2022-05-01,P001,P002,Active
C0072,BluePeak Networks 072,Manufacturing,Mid-Market,Central,Outbound,Rahul Mehta,2022-03-01,2022-03-01,P001,P001,Active
C0073,Cobalt Solutions 073,Retail,Large Enterprise,North,Events,Arjun Nair,2022-01-01,2022-01-01,P002,P002,Active
C0074,HexaWorks Networks 074,IT Services,Mid-Market,West,Inbound,Neha Kapoor,2022-08-01,2022-08-01,P001,P001,Active
C0075,FinAxis Labs 075,Financial Services,Mid-Market,South,Referral,Meera Iyer,2022-09-01,2022-09-01,P001,P001,Active
C0076,KiteBridge Services 076,IT Services,Mid-Market,West,Outbound,Arjun Nair,2022-03-01,2022-03-01,P001,P002,Active
C0077,Greenline Consulting 077,Manufacturing,Mid-Market,East,Outbound,Neha Kapoor,2022-06-01,2022-06-01,P001,P001,Churned
C0078,Jupiter Systems 078,Retail,Large Enterprise,South,Outbound,Arjun Nair,2022-08-01,2022-08-01,P002,P002,Active
C0079,KiteBridge Networks 079,IT Services,Mid-Market,North,Outbound,Arjun Nair,2022-03-01,2022-03-01,P001,P001,Active
C0080,Lumina Systems 080,Financial Services,Mid-Market,North,Referral,Meera Iyer,2022-02-01,2022-02-01,P001,P001,Active
C0081,Riverbend Labs 081,Retail,Mid-Market,South,Outbound,Arjun Nair,2022-12-01,2022-12-01,P001,P002,Churned
C0082,Meridian Solutions 082,Financial Services,Mid-Market,North,Inbound,Sara Khan,2022-05-01,2022-05-01,P001,P001,Churned
C0083,Westlake Industries 083,Financial Services,Large Enterprise,West,Outbound,Rahul Mehta,2022-11-01,2022-11-01,P002,P002,Active
C0084,FinAxis Labs 084,Retail,Mid-Market,South,Outbound,Arjun Nair,2022-04-01,2022-04-01,P001,P001,Active
C0085,KiteBridge Technologies 085,IT Services,Mid-Market,South,Outbound,Rahul Mehta,2022-03-01,2022-03-01,P001,P001,Active
C0086,Indus Solutions 086,Manufacturing,Mid-Market,North,Referral,Meera Iyer,2022-08-01,2022-08-01,P001,P001,Active
C0087,Indus Services 087,IT Services,Large Enterprise,West,Partner,Aditi Rao,2022-06-01,2022-06-01,P002,P002,Active
C0088,Lumina Services 088,Financial Services,Large Enterprise,West,Partner,Vikram Shah,2022-08-01,2022-08-01,P002,P002,Active
C0089,Zenith Technologies 089,IT Services,Large Enterprise,South,Partner,Meera Iyer,2022-02-01,2022-02-01,P002,P002,Active
C0090,Aarav Solutions 090,IT Services,Large Enterprise,West,Outbound,Arjun Nair,2022-04-01,2022-04-01,P002,P002,Active
C0091,Orbit Consulting 091,Professional Services,Mid-Market,West,Outbound,Rahul Mehta,2022-02-01,2022-02-01,P001,P002,Active
C0092,Aarav Digital 092,Retail,Mid-Market,South,Referral,Aditi Rao,2022-06-01,2022-06-01,P001,P001,Churned
C0093,DigiCore Consulting 093,Professional Services,Mid-Market,West,Events,Arjun Nair,2022-07-01,2022-07-01,P001,P001,Active
C0094,Meridian Technologies 094,IT Services,Mid-Market,East,Outbound,Rahul Mehta,2022-04-01,2022-04-01,P001,P001,Active
C0095,Indus Digital 095,Professional Services,Mid-Market,North,Outbound,Rahul Mehta,2022-08-01,2022-08-01,P001,P002,Active
C0096,Jupiter Solutions 096,Professional Services,Mid-Market,South,Outbound,Neha Kapoor,2022-08-01,2022-08-01,P001,P001,Active
C0097,SkyGrid Labs 097,Healthcare,Mid-Market,North,Outbound,Arjun Nair,2023-01-12,2023-01-01,P001,P001,Churned
C0098,Zenith Technologies 098,Manufacturing,Mid-Market,North,Partner,Vikram Shah,2023-01-14,2023-01-01,P001,P002,Active
C0099,Everstone Systems 099,Retail,Large Enterprise,East,Partner,Meera Iyer,2023-01-17,2023-01-01,P002,P002,Active
C0100,Cobalt Technologies 100,Manufacturing,Mid-Market,South,Events,Meera Iyer,2023-01-16,2023-01-01,P001,P002,Active
C0101,Riverbend Technologies 101,Financial Services,Mid-Market,North,Outbound,Arjun Nair,2023-01-13,2023-01-01,P001,P001,Active
C0102,Meridian Enterprises 102,Professional Services,Mid-Market,West,Partner,Meera Iyer,2023-01-09,2023-01-01,P001,P001,Active
C0103,Westlake Networks 103,Retail,Mid-Market,South,Outbound,Neha Kapoor,2023-01-01,2023-01-01,P001,P001,Active
C0104,Riverbend Industries 104,Retail,Mid-Market,North,Partner,Aditi Rao,2023-01-01,2023-01-01,P001,P001,Active
C0105,Aarav Systems 105,IT Services,Large Enterprise,East,Referral,Sara Khan,2023-02-17,2023-02-01,P002,P002,Active
C0106,Cobalt Enterprises 106,Financial Services,Mid-Market,North,Inbound,Sara Khan,2023-02-05,2023-02-01,P001,P002,Active
C0107,Orbit Services 107,Professional Services,Large Enterprise,West,Partner,Aditi Rao,2023-02-10,2023-02-01,P002,P002,Active
C0108,PrimeArc Enterprises 108,Financial Services,Mid-Market,West,Outbound,Arjun Nair,2023-02-13,2023-02-01,P001,P002,Active
C0109,KiteBridge Digital 109,Manufacturing,Large Enterprise,South,Referral,Sara Khan,2023-02-03,2023-02-01,P002,P002,Active
C0110,Nexora Enterprises 110,Manufacturing,Mid-Market,South,Outbound,Rahul Mehta,2023-02-11,2023-02-01,P001,P001,Active
C0111,Nexora Enterprises 111,Professional Services,Mid-Market,North,Partner,Aditi Rao,2023-02-01,2023-02-01,P001,P001,Active
C0112,Quantara Consulting 112,Manufacturing,Mid-Market,South,Outbound,Rahul Mehta,2023-02-04,2023-02-01,P001,P001,Active
C0113,Quantara Solutions 113,IT Services,Mid-Market,East,Inbound,Neha Kapoor,2023-02-20,2023-02-01,P001,P002,Active
C0114,BluePeak Digital 114,IT Services,Mid-Market,South,Outbound,Arjun Nair,2023-02-18,2023-02-01,P001,P001,Active
C0115,Everstone Solutions 115,IT Services,Mid-Market,West,Partner,Aditi Rao,2023-03-08,2023-03-01,P001,P002,Active
C0116,Vertex Services 116,Professional Services,Mid-Market,West,Events,Arjun Nair,2023-03-08,2023-03-01,P001,P001,Active
C0117,SkyGrid Labs 117,Healthcare,Mid-Market,Central,Partner,Aditi Rao,2023-03-02,2023-03-01,P001,P001,Active
C0118,Everstone Enterprises 118,Financial Services,Mid-Market,Central,Inbound,Sara Khan,2023-03-04,2023-03-01,P001,P001,Active
C0119,TrueNorth Services 119,Financial Services,Large Enterprise,North,Partner,Vikram Shah,2023-03-05,2023-03-01,P002,P002,Active
C0120,UrbanStack Systems 120,Manufacturing,Mid-Market,South,Inbound,Aditi Rao,2023-03-12,2023-03-01,P001,P001,Active
C0121,DigiCore Labs 121,Financial Services,Mid-Market,West,Outbound,Neha Kapoor,2023-03-18,2023-03-01,P001,P002,Active
C0122,Orbit Networks 122,Manufacturing,Large Enterprise,North,Partner,Aditi Rao,2023-03-11,2023-03-01,P002,P002,Active
C0123,SkyGrid Enterprises 123,Retail,Large Enterprise,South,Events,Vikram Shah,2023-03-03,2023-03-01,P002,P002,Active
C0124,TrueNorth Industries 124,Manufacturing,Mid-Market,South,Referral,Aditi Rao,2023-03-14,2023-03-01,P001,P001,Active
C0125,Meridian Technologies 125,Retail,Large Enterprise,Central,Events,Arjun Nair,2023-03-02,2023-03-01,P002,P002,Churned
C0126,PrimeArc Networks 126,Retail,Large Enterprise,North,Outbound,Rahul Mehta,2023-03-16,2023-03-01,P002,P002,Active
C0127,TrueNorth Solutions 127,Financial Services,Mid-Market,Central,Referral,Aditi Rao,2023-04-14,2023-04-01,P001,P001,Active
C0128,Vertex Labs 128,Manufacturing,Large Enterprise,North,Referral,Sara Khan,2023-04-02,2023-04-01,P002,P002,Active
C0129,Westlake Solutions 129,IT Services,Mid-Market,North,Outbound,Neha Kapoor,2023-04-20,2023-04-01,P001,P001,Active
C0130,Orbit Technologies 130,Healthcare,Mid-Market,South,Outbound,Neha Kapoor,2023-04-17,2023-04-01,P001,P001,Churned
C0131,Westlake Labs 131,Healthcare,Large Enterprise,North,Inbound,Neha Kapoor,2023-04-01,2023-04-01,P002,P002,Active
C0132,UrbanStack Digital 132,IT Services,Mid-Market,West,Referral,Meera Iyer,2023-04-14,2023-04-01,P001,P001,Active
C0133,Zenith Consulting 133,IT Services,Large Enterprise,South,Partner,Vikram Shah,2023-04-10,2023-04-01,P002,P002,Active
C0134,Greenline Solutions 134,Retail,Large Enterprise,West,Partner,Aditi Rao,2023-04-12,2023-04-01,P002,P002,Active
C0135,Vertex Labs 135,Manufacturing,Mid-Market,West,Partner,Vikram Shah,2023-04-11,2023-04-01,P001,P001,Active
C0136,DigiCore Services 136,Healthcare,Mid-Market,West,Outbound,Rahul Mehta,2023-04-15,2023-04-01,P001,P001,Churned
C0137,Westlake Industries 137,Healthcare,Mid-Market,West,Outbound,Neha Kapoor,2023-05-19,2023-05-01,P001,P001,Churned
C0138,Jupiter Consulting 138,Professional Services,Mid-Market,West,Outbound,Neha Kapoor,2023-05-02,2023-05-01,P001,P001,Active
C0139,Quantara Solutions 139,Manufacturing,Mid-Market,South,Partner,Vikram Shah,2023-05-10,2023-05-01,P001,P001,Active
C0140,UrbanStack Services 140,Financial Services,Mid-Market,North,Outbound,Rahul Mehta,2023-05-04,2023-05-01,P001,P001,Active
C0141,Zenith Networks 141,Healthcare,Mid-Market,North,Inbound,Neha Kapoor,2023-05-14,2023-05-01,P001,P001,Active
C0142,Lumina Digital 142,Retail,Large Enterprise,West,Referral,Aditi Rao,2023-05-08,2023-05-01,P002,P002,Active
C0143,KiteBridge Digital 143,Financial Services,Mid-Market,South,Partner,Aditi Rao,2023-05-16,2023-05-01,P001,P001,Churned
C0144,Vertex Networks 144,Professional Services,Large Enterprise,North,Events,Meera Iyer,2023-05-13,2023-05-01,P002,P002,Active
C0145,Meridian Technologies 145,Financial Services,Mid-Market,South,Outbound,Neha Kapoor,2023-05-05,2023-05-01,P001,P002,Active
C0146,Aarav Labs 146,Retail,Mid-Market,East,Inbound,Aditi Rao,2023-05-19,2023-05-01,P001,P001,Active
C0147,UrbanStack Labs 147,Professional Services,Mid-Market,East,Inbound,Aditi Rao,2023-06-09,2023-06-01,P001,P001,Active
C0148,Orbit Consulting 148,Healthcare,Large Enterprise,West,Inbound,Aditi Rao,2023-06-20,2023-06-01,P002,P002,Active
C0149,Meridian Enterprises 149,IT Services,Large Enterprise,South,Outbound,Neha Kapoor,2023-06-16,2023-06-01,P002,P002,Churned
C0150,TrueNorth Networks 150,Healthcare,Mid-Market,North,Partner,Aditi Rao,2023-06-06,2023-06-01,P001,P001,Active
C0151,Westlake Labs 151,Retail,Large Enterprise,East,Outbound,Arjun Nair,2023-06-14,2023-06-01,P002,P002,Active
C0152,Lumina Enterprises 152,IT Services,Mid-Market,South,Inbound,Aditi Rao,2023-06-14,2023-06-01,P001,P001,Active
C0153,FinAxis Systems 153,Financial Services,Mid-Market,South,Inbound,Aditi Rao,2023-06-16,2023-06-01,P001,P001,Active
C0154,Indus Systems 154,Healthcare,Large Enterprise,East,Partner,Meera Iyer,2023-06-04,2023-06-01,P002,P002,Active
C0155,Quantara Solutions 155,IT Services,Mid-Market,West,Partner,Meera Iyer,2023-06-18,2023-06-01,P001,P001,Active
C0156,Westlake Enterprises 156,IT Services,Mid-Market,West,Inbound,Aditi Rao,2023-06-10,2023-06-01,P001,P001,Active
C0157,Quantara Labs 157,Professional Services,Mid-Market,North,Outbound,Arjun Nair,2023-06-07,2023-06-01,P001,P001,Active
C0158,DigiCore Digital 158,Retail,Mid-Market,East,Outbound,Neha Kapoor,2023-07-05,2023-07-01,P001,P001,Active
C0159,BluePeak Technologies 159,IT Services,Mid-Market,West,Inbound,Neha Kapoor,2023-07-13,2023-07-01,P001,P001,Active
C0160,KiteBridge Systems 160,Manufacturing,Mid-Market,North,Events,Meera Iyer,2023-07-05,2023-07-01,P001,P002,Active
C0161,Vertex Systems 161,Financial Services,Mid-Market,South,Inbound,Sara Khan,2023-07-07,2023-07-01,P001,P002,Active
C0162,Meridian Systems 162,Healthcare,Mid-Market,West,Inbound,Neha Kapoor,2023-07-12,2023-07-01,P001,P001,Active
C0163,UrbanStack Enterprises 163,Financial Services,Large Enterprise,West,Outbound,Rahul Mehta,2023-07-16,2023-07-01,P002,P002,Active
C0164,Zenith Consulting 164,IT Services,Mid-Market,West,Outbound,Rahul Mehta,2023-07-16,2023-07-01,P001,P001,Active
C0165,SkyGrid Technologies 165,Healthcare,Large Enterprise,West,Inbound,Sara Khan,2023-07-20,2023-07-01,P002,P002,Active
C0166,Zenith Industries 166,Manufacturing,Mid-Market,South,Partner,Aditi Rao,2023-07-04,2023-07-01,P001,P001,Active
C0167,Zenith Industries 167,Financial Services,Large Enterprise,North,Partner,Meera Iyer,2023-07-15,2023-07-01,P002,P002,Active
C0168,Vertex Enterprises 168,Manufacturing,Large Enterprise,West,Partner,Meera Iyer,2023-08-10,2023-08-01,P002,P002,Active
C0169,Quantara Labs 169,Financial Services,Mid-Market,Central,Inbound,Aditi Rao,2023-08-15,2023-08-01,P001,P001,Churned
C0170,Westlake Solutions 170,Retail,Mid-Market,Central,Events,Vikram Shah,2023-08-20,2023-08-01,P001,P001,Active
C0171,Greenline Networks 171,Professional Services,Mid-Market,North,Inbound,Sara Khan,2023-08-18,2023-08-01,P001,P001,Active
C0172,Vertex Services 172,IT Services,Mid-Market,West,Partner,Meera Iyer,2023-08-01,2023-08-01,P001,P002,Active
C0173,BluePeak Technologies 173,Manufacturing,Mid-Market,North,Outbound,Arjun Nair,2023-08-03,2023-08-01,P001,P001,Active
C0174,SkyGrid Labs 174,Healthcare,Mid-Market,North,Referral,Aditi Rao,2023-08-06,2023-08-01,P001,P001,Active
C0175,Aarav Systems 175,Professional Services,Large Enterprise,North,Outbound,Arjun Nair,2023-08-03,2023-08-01,P002,P002,Churned
C0176,BluePeak Solutions 176,IT Services,Mid-Market,South,Events,Meera Iyer,2023-08-11,2023-08-01,P001,P001,Active
C0177,Jupiter Enterprises 177,Financial Services,Mid-Market,North,Partner,Vikram Shah,2023-08-16,2023-08-01,P001,P001,Active
C0178,HexaWorks Consulting 178,Professional Services,Large Enterprise,South,Outbound,Arjun Nair,2023-09-02,2023-09-01,P002,P002,Active
C0179,DigiCore Solutions 179,Financial Services,Large Enterprise,South,Outbound,Neha Kapoor,2023-09-09,2023-09-01,P002,P002,Active
C0180,Zenith Solutions 180,Financial Services,Large Enterprise,East,Referral,Meera Iyer,2023-09-15,2023-09-01,P002,P002,Active
C0181,Jupiter Consulting 181,Healthcare,Large Enterprise,North,Events,Arjun Nair,2023-09-01,2023-09-01,P002,P002,Active
C0182,FinAxis Labs 182,Financial Services,Large Enterprise,North,Partner,Meera Iyer,2023-09-19,2023-09-01,P002,P002,Active
C0183,Zenith Industries 183,Manufacturing,Mid-Market,North,Inbound,Neha Kapoor,2023-09-15,2023-09-01,P001,P002,Active
C0184,SkyGrid Consulting 184,Manufacturing,Mid-Market,South,Outbound,Neha Kapoor,2023-09-13,2023-09-01,P001,P001,Active
C0185,Indus Industries 185,Professional Services,Large Enterprise,East,Partner,Meera Iyer,2023-09-04,2023-09-01,P002,P002,Active
C0186,Lumina Consulting 186,IT Services,Mid-Market,North,Events,Meera Iyer,2023-09-01,2023-09-01,P001,P002,Active
C0187,Jupiter Solutions 187,Retail,Mid-Market,South,Inbound,Aditi Rao,2023-09-18,2023-09-01,P001,P002,Active
C0188,Westlake Digital 188,IT Services,Large Enterprise,South,Inbound,Aditi Rao,2023-09-15,2023-09-01,P002,P002,Active
C0189,Westlake Networks 189,Professional Services,Mid-Market,West,Referral,Sara Khan,2023-09-11,2023-09-01,P001,P001,Active
C0190,Cobalt Labs 190,Manufacturing,Large Enterprise,North,Referral,Aditi Rao,2023-09-19,2023-09-01,P002,P002,Active
C0191,DigiCore Systems 191,IT Services,Mid-Market,West,Inbound,Neha Kapoor,2023-10-17,2023-10-01,P001,P001,Active
C0192,Vertex Services 192,Manufacturing,Large Enterprise,Central,Inbound,Neha Kapoor,2023-10-12,2023-10-01,P002,P002,Active
C0193,Meridian Technologies 193,Professional Services,Large Enterprise,North,Partner,Vikram Shah,2023-10-10,2023-10-01,P002,P002,Active
C0194,Nexora Solutions 194,Financial Services,Mid-Market,South,Events,Meera Iyer,2023-10-10,2023-10-01,P001,P002,Active
C0195,FinAxis Networks 195,Manufacturing,Large Enterprise,South,Partner,Vikram Shah,2023-10-04,2023-10-01,P002,P002,Active
C0196,Greenline Labs 196,Manufacturing,Mid-Market,West,Inbound,Aditi Rao,2023-10-16,2023-10-01,P001,P002,Churned
C0197,Jupiter Solutions 197,Healthcare,Mid-Market,East,Referral,Aditi Rao,2023-10-09,2023-10-01,P001,P002,Active
C0198,Nexora Digital 198,IT Services,Mid-Market,South,Inbound,Neha Kapoor,2023-10-08,2023-10-01,P001,P002,Active
C0199,SkyGrid Networks 199,Manufacturing,Mid-Market,Central,Partner,Meera Iyer,2023-10-13,2023-10-01,P001,P001,Active
C0200,Greenline Industries 200,IT Services,Mid-Market,South,Events,Meera Iyer,2023-10-12,2023-10-01,P001,P001,Active
C0201,DigiCore Systems 201,Financial Services,Large Enterprise,Central,Partner,Vikram Shah,2023-10-07,2023-10-01,P002,P002,Active
C0202,Jupiter Enterprises 202,Healthcare,Mid-Market,West,Partner,Meera Iyer,2023-10-06,2023-10-01,P001,P001,Active
C0203,UrbanStack Digital 203,Financial Services,Mid-Market,West,Referral,Aditi Rao,2023-11-08,2023-11-01,P001,P001,Active
C0204,Westlake Industries 204,Retail,Mid-Market,North,Referral,Sara Khan,2023-11-02,2023-11-01,P001,P001,Active
C0205,Riverbend Digital 205,Professional Services,Mid-Market,South,Events,Vikram Shah,2023-11-05,2023-11-01,P001,P001,Active
C0206,DigiCore Services 206,Financial Services,Large Enterprise,West,Outbound,Rahul Mehta,2023-11-06,2023-11-01,P002,P002,Active
C0207,FinAxis Networks 207,Manufacturing,Mid-Market,North,Partner,Vikram Shah,2023-11-01,2023-11-01,P001,P001,Active
C0208,Vertex Technologies 208,IT Services,Mid-Market,Central,Outbound,Neha Kapoor,2023-11-16,2023-11-01,P001,P002,Active
C0209,Cobalt Digital 209,Professional Services,Mid-Market,North,Outbound,Rahul Mehta,2023-11-09,2023-11-01,P001,P002,Active
C0210,Greenline Labs 210,Financial Services,Mid-Market,East,Partner,Vikram Shah,2023-11-04,2023-11-01,P001,P001,Churned
